"Mobipaid", "Mobipaid"
"Mobipaid Settings", "Paramètres Mobipaid"
"Mobipaid redirects customers to Mobipaid to enter their payment information.", "Mobipaid redirige les clients vers Mobipaid pour entrer leurs informations de paiement."
"Title", "Titre"
"This is the title which the user sees during checkout.", "C'est le titre que l'utilisateur voit lors du paiement."
"Description", "Description"
"This is the description which the user sees during checkout.", "Il s'agit de la description que l'utilisateur voit lors du paiement."
"Access Key", "Clé d'accès"
"This is the access key, received from Mobipaid developer portal. ( required )", "Il s'agit de la clé d'accès, reçue du portail des développeurs Mobipaid. (obligatoire)"
"Enable Logging", "Activer la journalisation"
"Enable transaction logging for Mobipaid.", "Activer la journalisation des transactions pour mobipaid."
"Payment Methods", "Modes de paiement"
"Active", "Actif"
"Error while Processing Request: please try again.", "Erreur lors du traitement de la demande : veuillez réessayer."
"How to execute a Full Refund?", "Comment exécuter un remboursement complet ?"
"How to execute a Partial Refund?", "Comment exécuter un remboursement partiel ?"

"On administration panel go to menu : Sales > Orders", "Sur le panneau d'administration, allez au menu : Ventes > Commandes"
"Select the transaction that you want to refund", "Sélectionnez la transaction que vous souhaitez rembourser"
"Click invoice menu on the left side", "Cliquez sur le menu facture à gauche"
"Click the invoice data on the right side", "Cliquez sur les données de la facture à droite"
"Click on Credit memo", "Cliquez sur Avoir de crédit"
"Then click the refund button", "Cliquez ensuite sur le bouton de remboursement"
"On administration panel go to menu : Sales > Orders", "Sur le panneau d'administration, allez au menu : Ventes > Commandes"
"Select the transaction that you want to refund", "Sélectionnez la transaction que vous souhaitez rembourser"
"Click invoice menu on the left side", "Cliquez sur le menu facture à gauche"
"Click the invoice data on the right side", "Cliquez sur les données de la facture à droite"
"Click on Credit memo", "Cliquez sur Avoir de crédit"
"Choose the product quantity that you want to refund at Qty to Refund column", "Choisissez la quantité de produit que vous souhaitez rembourser dans la colonne Qté à Rembourser"
"Click the Update Qty’s button", "Cliquez sur le bouton Mettre à jour la quantité"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Remboursement d'entrée Livraison, Remboursement d'ajustement, Frais d'ajustement"
"Then click the refund button", "Cliquez ensuite sur le bouton de remboursement"

"Error while Processing Request: please try again.", "Erreur lors du traitement de la demande : veuillez réessayer."
"Your order on", "Votre commande sur"
"is in the process.", "est en cours de processus."
"Please back again after a minutes and check your order history", "Veuillez revenir après quelques minutes et vérifier l'historique de vos commandes"
"processing", "Traitement"
"payment_accepted", "Paiement accepté"
